agentID, delayTime
MN2641,    44.01
MN1430,    44.86
MN0583,    42.65
MN1671,    41.62
MN2760,    45.13
MN2409,    45.56
MN0108,    44.10
MN2528,    44.02
MN0349,    42.44
MN1558,    42.70
MN0471,    47.27
MN1680,    46.28
MN1766,    44.87
MN2613,    44.95
MN0314,    45.03
MN1886,    44.81
MN0674,    41.12
MN0795,    46.71
MN1522,    40.83
MN1764,    42.33
MN2853,    44.02
MN0554,    46.32
MN2973,    43.88
MN0430,    43.34
MN1761,    45.63
MN1881,    44.14
MN0559,    44.54
MN1528,    45.35
MN2617,    42.39
MN2859,    42.33
MN0318,    42.98
MN0436,    43.97
MN2736,    42.61
MN1404,    44.87
MN1646,    45.66
MN1890,    44.81
MN0566,    42.94
MN1535,    42.93
MN2503,    45.95
MN1413,    45.12
MN1897,    43.67
MN2744,    45.72
MN0201,    42.80
MN2622,    48.52
MN2864,    46.81
MN2985,    46.79
MN1774,    43.32
MN1652,    42.95
MN1894,    45.71
MN1771,    43.82
MN0440,    43.62
MN0682,    45.68
MN2980,    44.17
MN1419,    42.16
MN0449,    48.60
MN2749,    45.52
MN0208,    43.21
MN0326,    44.08
MN0689,    50.49
MN1658,    43.86
MN1779,    44.71
MN1986,    42.87
MN2954,    46.79
MN0534,    44.51
MN2711,    46.63
MN0894,    44.34
MN1742,    47.72
MN1863,    42.24
MN1984,    43.91
MN0411,    41.80
MN1620,    42.47
MN0651,    45.88
MN1980,    45.58
MN0770,    43.82
MN1509,    48.55
MN0539,    46.08
MN1628,    44.51
MN2717,    44.78
MN1748,    42.47
MN0417,    44.45
MN2836,    46.20
MN0656,    43.59
MN1504,    41.67
MN1867,    41.69
MN2956,    44.48
MN0778,    43.92
MN0302,    46.47
MN1755,    43.65
MN1876,    43.41
MN1997,    43.36
MN2602,    43.97
MN1633,    43.56
MN0422,    41.20
MN0664,    45.39
MN1873,    42.06
MN2720,    44.63
MN2841,    44.42
MN2962,    46.27
MN0782,    44.57
MN1750,    47.63
MN1870,    44.23
MN1990,    44.19
